fantasymath_id,position,actual
mason-crosby,PK,4.9
eddy-pineiro,PK,0.0
brandon-mcmanus,PK,7.1
daniel-carlson,PK,5.9
robbie-gould,PK,10.2
matt-gay,PK,5.1
jake-elliott,PK,5.2
dustin-hopkins,PK,11.899999999999999
lar-dst,DST,10.0
car-dst,DST,3.0
dal-dst,DST,9.0
nyg-dst,DST,-3.0
no-dst,DST,9.0
hou-dst,DST,0.0
min-dst,DST,17.0
atl-dst,DST,2.0
cle-dst,DST,1.0
ten-dst,DST,21.0
det-dst,DST,10.0
ari-dst,DST,6.0
sea-dst,DST,13.0
cin-dst,DST,9.0
ne-dst,DST,10.0
pit-dst,DST,-2.0
kc-dst,DST,6.0
jax-dst,DST,-3.0
nyj-dst,DST,19.0
buf-dst,DST,10.0
bal-dst,DST,11.0
mia-dst,DST,0.0
lac-dst,DST,5.0
ind-dst,DST,3.0
chi-dst,DST,9.0
gb-dst,DST,14.0
den-dst,DST,1.0
lv-dst,DST,0.0
sf-dst,DST,15.0
tb-dst,DST,2.0
phi-dst,DST,2.0
was-dst,DST,-2.0
drew-brees,QB,0.0
malcolm-brown,RB,0.0
kareem-hunt,RB,0.0
james-white,RB,0.0
