name,player_position,team_position,actual,start,team_id,player_id
Bijan Robinson,RB,RB,,True,1605157,15
Raheem Mostert,RB,RB,,True,1605157,1651
Alexander Mattison,RB,RB/WR/TE,1.9000001,True,1605157,772
Puka Nacua,WR,WR,,True,1605157,65
Zay Flowers,WR,WR,,True,1605157,44
Luke Musgrave,TE,TE,,True,1605157,69
Jake Elliott,K,K,13.0,True,1605157,1188
New York Jets,D/ST,D/ST,,True,1605157,5175
Mac Jones,QB,BN,,False,1605157,331
Jahmyr Gibbs,RB,BN,,False,1605157,16
Rashid Shaheed,WR,BN,,False,1605157,315
Jayden Reed,WR,BN,,False,1605157,38
Mike Williams,WR,BN,,False,1605157,1129
Amari Cooper,WR,BN,,False,1605157,1530
Brandin Cooks,WR,BN,,False,1605157,1719
Jalen Hurts,QB,QB,27.15,True,1605148,498
James Cook,RB,RB,,True,1605148,172
Dameon Pierce,RB,RB,,True,1605148,174
Tyreek Hill,WR,WR,,True,1605148,1371
DK Metcalf,WR,WR,,True,1605148,720
Mike Evans,WR,RB/WR/TE,,True,1605148,1716
Mark Andrews,TE,TE,,True,1605148,971
Justin Tucker,K,K,,True,1605148,2210
Philadelphia Eagles,D/ST,D/ST,15.0,True,1605148,5176
Kenny Pickett,QB,BN,,False,1605148,150
Tank Bigsby,RB,BN,,False,1605148,18
Gus Edwards,RB,BN,,False,1605148,1008
Damien Harris,RB,BN,,False,1605148,693
JuJu Smith-Schuster,WR,BN,,False,1605148,1131
Evan Engram,TE,BN,,False,1605148,1164
Dan Arnold,TE,BN,,False,1605148,1273
Tua Tagovailoa,QB,QB,,True,1605151,493
Tony Pollard,RB,RB,,True,1605151,703
Miles Sanders,RB,RB,,True,1605151,697
Stefon Diggs,WR,WR,,True,1605151,1541
Deebo Samuel,WR,WR,,True,1605151,754
George Pickens,WR,RB/WR/TE,,True,1605151,219
Gerald Everett,TE,TE,,True,1605151,1175
Evan McPherson,K,K,,True,1605151,435
Buffalo Bills,D/ST,D/ST,,True,1605151,5154
Derek Carr,QB,BN,,False,1605151,1689
Ezekiel Elliott,RB,BN,,False,1605151,1302
Alvin Kamara,RB,BN,,False,1605151,1107
Allen Lazard,WR,BN,,False,1605151,932
Odell Beckham,WR,BN,,False,1605151,1724
Van Jefferson,WR,BN,,False,1605151,573
Cole Kmet,TE,BN,,False,1605151,582
Justin Herbert,QB,QB,,True,1605154,494
Derrick Henry,RB,RB,,True,1605154,1303
Kenneth Walker,RB,RB,,True,1605154,168
Keenan Allen,WR,WR,,True,1605154,1954
A.J. Brown,WR,WR,2.9,True,1605154,722
Christian Kirk,WR,RB/WR/TE,,True,1605154,933
David Njoku,TE,TE,,True,1605154,1167
Jason Sanders,K,K,,True,1605154,1003
Jacksonville Jaguars,D/ST,D/ST,,True,1605154,5165
Jared Goff,QB,BN,,False,1605154,1288
Chuba Hubbard,RB,BN,,False,1605154,351
Kendre Miller,RB,BN,,False,1605154,25
Kendrick Bourne,WR,BN,,False,1605154,1238
Quentin Johnston,WR,BN,,False,1605154,42
Jerry Jeudy,WR,BN,,False,1605154,548
Kansas City Chiefs,D/ST,BN,,False,1605154,5166
