name,player_position,team_position,start,team_id,actual,player_id
Mark Andrews,TE,TE,True,7,,971
Rhamondre Stevenson,RB,WR/RB/TE,True,7,,349
Anthony Richardson,QB,QB/WR/RB/TE,True,7,,6
Sam Howell,QB,BN1,False,7,,151
Jordan Addison,WR,BN2,False,7,16.2,40
Brian Robinson,RB,BN3,False,7,,173
Tyler Allgeier,RB,BN4,False,7,,169
Puka Nacua,WR,BN5,False,7,,65
Joshua Kelley,RB,BN6,False,7,,522
Jonathan Taylor,RB,IR,False,7,,517
