player_id,name,pos,fleaflicker_id,espn_id,yahoo_id,sleeper_id,team,actual
804,D'Ernest Johnson,RB,15453,3139602,32608,6694,JAX,3.2
824,Alec Ingold,RB,15279,3917668,32344,6109,MIA,0.0
190,Pierre Strong Jr.,RB,16909,4249836,34083,8116,CLE,2.7
543,Tony Jones,RB,16039,4046676,33114,6984,NO,9.2
345,Kenneth Gainwell,RB,16480,4371733,33538,7567,PHI,5.8
184,Zonovan Knight,RB,17486,4427728,34357,8122,DET,1.3
447,Gary Brightwell,RB,16461,4245645,33584,7529,NYG,5.6
532,Patrick Taylor,RB,16024,4039358,33235,6963,GB,5.9
1307,Kenyan Drake,RB,12101,2979843,29307,3242,BAL,3.1
1113,Kareem Hunt,RB,12934,3059915,30199,4098,CLE,5.5
551,Justin Jefferson,WR,15540,4262921,32692,6794,MIN,27.9
1371,Tyreek Hill,WR,12197,3116406,29399,3321,MIA,30.700000000000003
547,CeeDee Lamb,WR,15523,4241389,32687,6786,DAL,10.200000000000001
1138,Chris Godwin,WR,12926,3116165,30197,4037,TB,8.2
1541,Stefon Diggs,WR,11329,2976212,28534,2449,BUF,19.1
372,DeVonta Smith,WR,16253,4241478,33398,7525,PHI,6.800000000000001
929,Calvin Ridley,WR,13776,3925357,30996,4981,JAX,7.0
211,Chris Olave,WR,16824,4361370,33966,8144,NO,18.4
722,A.J. Brown,WR,14694,4047646,31883,5859,PHI,22.1
727,Terry McLaurin,WR,14746,3121422,31908,5927,WAS,10.100000000000001
720,DK Metcalf,WR,14706,4047650,31896,5846,SEA,17.200000000000003
1129,Mike Williams,WR,12890,3045138,30120,4068,LAC,25.1
1716,Mike Evans,WR,10252,16737,27535,2216,TB,17.0
377,Amon-Ra St. Brown,WR,16373,4374302,33500,7547,DET,19.6
1720,Davante Adams,WR,10295,16800,27581,2133,LV,42.2
1542,Tyler Lockett,WR,11242,2577327,28457,2374,SEA,8.4
548,Jerry Jeudy,WR,15544,4241463,32685,6783,DEN,13.1
1954,Keenan Allen,WR,9380,15818,26699,1479,LAC,45.46
219,George Pickens,WR,16859,4426354,34007,8137,PIT,11.5
560,Gabriel Davis,WR,15627,4243537,32798,6943,BUF,10.3
371,Ja'Marr Chase,WR,16250,4362628,33393,7564,CIN,26.1
212,Jahan Dotson,WR,16821,4361409,33971,8119,WAS,4.1
930,Courtland Sutton,WR,13795,3128429,31010,5045,DEN,19.1
210,Garrett Wilson,WR,16798,4569618,33965,8146,NYJ,9.8
1964,DeAndre Hopkins,WR,9311,15795,26650,1426,TEN,7.800000000000001
754,Deebo Samuel,WR,14702,3126486,31868,5872,SF,25.099999999999998
380,Nico Collins,WR,16281,4258173,33477,7569,HOU,5.4
1329,Michael Thomas,WR,12096,2976316,29281,3199,NO,11.0
933,Christian Kirk,WR,13806,3895856,31017,4950,JAX,15.4
298,Brandon Johnson,WR,17347,4035198,34571,8756,DEN,3.2
723,Marquise Brown,WR,14661,4241372,31857,5848,ARI,17.1
315,Rashid Shaheed,WR,17243,4032473,34659,8676,NO,0.0
1832,Adam Thielen,WR,9891,16460,27277,1689,CAR,31.5
935,D.J. Moore,WR,13764,3915416,30994,4983,CHI,13.100000000000001
550,Tee Higgins,WR,15585,4239993,32703,6801,CIN,4.1
391,Tutu Atwell,WR,16326,4360797,33445,7562,LAR,17.2
857,Deonte Harty,WR,15154,4411193,32398,6234,BUF,3.3
208,Drake London,WR,16823,4426502,33963,8112,ATL,5.1
1327,Tyler Boyd,WR,12051,3045144,29288,3225,CIN,8.9
1723,Allen Robinson,WR,10305,16799,27589,1992,PIT,6.4
557,Michael Pittman,WR,15603,4035687,32704,6819,IND,16.7
556,Chase Claypool,WR,15597,4046692,32719,6886,CHI,2.5
1530,Amari Cooper,WR,11177,2976499,28392,2309,CLE,24.6
224,Alec Pierce,WR,16842,4360078,34008,8142,IND,7.3
378,Elijah Moore,WR,16265,4372414,33422,7596,CLE,11.8
993,Marquez Valdes-Scantling,WR,13952,3051738,31144,5086,KC,4.7
